prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
1,PRD_B01,Dolphin Facial Lifter,150,Beauty,2024-01-01 00:00:00,
2,PRD_B02,Electric Fat Burner Massager,320,Health & Beauty,2024-01-01 00:00:00,
3,PRD_B03,4D Silk Fiber Mascara,45,BEAUTY,2024-01-01 00:00:00,2024-05-31 23:59:59
4,PRD_B03,4D Silk Fiber Mascara,50,beauty,2024-06-01 00:00:00,
5,PRD_B04,Porevac Elite Skin Cleanser,180,Beauty,2024-01-01 00:00:00,
6,PRD_B05,Silicone Cube Facial Ice Roller,25,Personal Care,2024-01-01 00:00:00,
7,PRD_E01,Smart LED Desk Lamp,210,Electronics,2024-01-15 00:00:00,
8,PRD_E02,Wireless Ergonomic Mouse,190,electronics,2024-01-15 00:00:00,
9,PRD_E03,Noise Canceling Earbuds,450,ELECTRONICS,2024-02-01 00:00:00,
10,PRD_E04,Ultra Slim Power Bank 10000mAh,280,Electronics,2024-02-01 00:00:00,
11,PRD_H01,Aroma Essential Oil Diffuser,130,Home & Living,2024-02-10 00:00:00,
12,PRD_H02,Orthopedic Memory Foam Pillow,260,Home,2024-02-10 00:00:00,
13,PRD_H03, Stainless Steel Thermal Flask,110,Home & Living,2024-02-15 00:00:00,
14,PRD_H04,Automatic Water Dispenser,175,HOME,2024-02-15 00:00:00,
15,PRD_S01,Pro Yoga Mat Non Slip,140,Sports,2024-03-01 00:00:00,
16,PRD_S02,Adjustable Resistance Bands,85,sports,2024-03-01 00:00:00,
17,PRD_S03,Speed Jump Rope Pro,60,Sports,2024-03-05 00:00:00,
18,PRD_B06,Ultrasonic Skin Scrubber,220,Beauty,2024-03-10 00:00:00,
19,PRD_B07,LED Light Therapy Mask,390,Beauty,2024-03-10 00:00:00,
20,PRD_E05,USB C Multiport Hub Adapter,230,Electronics,2024-03-15 00:00:00,
21,PRD_E06,Bluetooth Mini Soundbar,310,Electronics,15/03/2024 08:00:00,
22,PRD_H05,Electric Coffee Grinder,195,Home,2024-03-20 00:00:00,
23,PRD_X01,Discontinued Test Item,0,Other,2024-01-01 00:00:00,2024-02-01 00:00:00
24,PRD_X02,Unknown Legacy Product,,n/a,2024-01-01 00:00:00,
25,PRD_B01,Dolphin Facial Lifter,150,Beauty,2024-01-01 00:00:00,
