cid,cntry
NAS-CUS1001,US
NAS-CUS1002,USA
NAS-CUS1003,United States
NAS-CUS1004,United States of America
NAS-CUS1005, US 
NAS-CUS1006,DE
NAS-CUS1007,Germany
NAS-CUS1008,Germany
NAS-CUS1009,VN
NAS-CUS1010,Vietnam
CUS1011,Vietnam
NAS-CUS1012, VN 
NAS-CUS1013,AU
NAS-CUS1014,Australia
NAS-CUS1015,US
NAS-CUS1015,US
NAS-CUS1016,CA
NAS-CUS1017,Canada
NAS-CUS1018,FR
NAS-CUS1019,France
NAS-CUS1020,UK
NAS-CUS1021,United Kingdom
NAS-CUS1022,US
NAS-CUS1023,USA
NAS-CUS1024,
NAS-CUS1025,n/a
NAS-CUS1026,US
NAS-CUS1027,Germany
NAS-CUS1028,Vietnam
NAS-CUS1029,Australia
NAS-CUS1030,US
NAS-CUS1031,Canada
NAS-CUS1032,UK
NAS-CUS8888,US
NAS-CUS99999,Unknown
