cid,bdate,gen
NAS-CUS1001,1985-03-14,Male
NAS-CUS1002,1990-07-22,Female
NAS-CUS1003,1988-11-05,M
NAS-CUS1004,1995-02-18,F
NAS-CUS1005,1982-09-30, Male 
NAS-CUS1006,1991-12-12,female
NAS-CUS1007,1987-04-25,MALE
NAS-CUS1008,1993-08-08,FEMALE
NAS-CUS1009,1996-01-19,Male
NAS-CUS1010,1984-06-30,Female
CUS1011,1989-10-15,M
NAS-CUS1012,1992-03-03, F 
NAS-CUS1013,1980-11-20,Male
NAS-CUS1014,1997-05-14,Female
NAS-CUS1015,1986-08-28,Female
NAS-CUS1015,1986-08-28,Female
NAS-CUS1016,1994-09-10,M
NAS-CUS1017,1983-04-04,F
NAS-CUS1018,1998-12-01,Male
NAS-CUS1019,1991-07-17,Female
NAS-CUS1020,1985-02-11,M
NAS-CUS1021,1993-10-29,Female
NAS-CUS1022,1988-06-06,Male
NAS-CUS1023,1995-01-23,Female
NAS-CUS1024,,M
NAS-CUS1025,1990-05-05,n/a
NAS-CUS1026,2050-01-01,Female
NAS-CUS1027,15/08/1987,Male
NAS-CUS1028,19920912,F
NAS-CUS1029,1981-11-11,Male
NAS-CUS1030,1996-04-04,Female
NAS-CUS1031,1989-02-28,M
NAS-CUS1032,1994-10-10,Female
NAS-CUS8888,1978-12-25,Male
NAS-CUS99999,1900-01-01,Unknown
