order_id,customer_id,product_id,quantity,unit_price,discount,total_amount,order_status,order_date,updated_at
ORD5001,CUS1001,PRD1001,2,45.00,0.00,90.00,Completed,2025-01-15,2026-01-05 08:30:00
ORD5002,CUS1002,PRD1002,1,$60.00,5.00,55.00,completed,16/01/2025,2026-01-06 09:15:00
ORD5003,CUS1003,PRD1003,3,15.00,0.10,40.50,COMPLETED,2025-01-17,2026-01-07 10:00:00
ORD5004,CUS1004,PRD1004,1,35.00,0.00,35.00,Pending,2025-01-18,2026-01-08 11:20:00
ORD5005,CUS1005,PRD1005,5,12.00,10.00,50.00,Cancelled,2025/01/19,2026-01-09 14:00:00
ORD5006,CUS1006,PRD1006,2,29.99,0.00,59.98,Completed,2025-01-20,2026-01-10 16:45:00
ORD5007,CUS1007,PRD1007,-1,89.90,0.00,-89.90,Returned,2025-01-21,2026-01-11 07:10:00
ORD5008,CUS1008,PRD1008,10,9.99,5.00,94.90,Completed,2025-01-22,2026-01-12 12:30:00
ORD5009,CUS1009,PRD1009,1,45.00,0.00,45.00,DELIVERED,2025-01-23,2026-01-13 13:25:00
ORD5010,CUS1010,PRD1010,2,75.00,15.00,135.00,Completed,2025-01-24,2026-01-14 15:50:00
ORD5011,CUS1011,PRD1011,1,32.50,0.00,32.50,completed,2025-01-25,2026-01-15 17:05:00
ORD5012,CUS1012,PRD1012,4,18.00,2.00,70.00,Completed,2025-01-26,2026-01-16 08:00:00
ORD5013,CUS1013,PRD1013,1,$25.00,0.00,25.00,Pending,2025-01-27,2026-01-17 09:40:00
ORD5014,CUS1014,PRD1014,2,22.00,0.00,44.00,Completed,2025-01-28,2026-01-18 11:15:00
ORD5015,CUS1015,PRD1015,1,16.50,0.00,16.50,Completed,2025-01-29,2026-01-19 14:50:00
ORD5015,CUS1015,PRD1015,1,16.50,0.00,16.50,Completed,2025-01-29,2026-01-19 14:50:00
ORD5016,CUS1016,PRD1016,2,39.99,5.00,74.98,Completed,2025-01-30,2026-01-20 16:30:00
ORD5017,CUS1017,PRD1017,3,28.00,0.00,84.00,completed,2025-01-31,2026-01-21 10:10:00
ORD5018,CUS1018,PRD1018,1,20.00,0.00,20.00,Cancelled,2025-02-01,2026-01-22 11:55:00
ORD5019,CUS1019,PRD1019,2,15.99,0.00,31.98,Completed,2025-02-02,2026-01-23 13:40:00
ORD5020,CUS1020,PRD1020,1,55.00,10.00,45.00,Completed,03/02/2025,2026-01-24 15:20:00
